grid_idx	shell	dV	q
0	7.0	-0.000551	+1.0000
1	7.0	+0.001547	-1.0000
3	7.0	+0.001353	-1.0000
4	7.0	-0.000343	+1.0000
5	7.0	+0.001410	-1.0000
6	8.0	-0.000308	+1.0000
7	8.0	-0.001100	+1.0000
8	8.0	-0.000703	+1.0000
9	8.0	+0.001266	-1.0000
10	7.0	+0.001403	-1.0000
11	7.0	+0.000055	-1.0000
12	7.0	-0.000189	+1.0000
13	7.0	-0.001761	+1.0000
14	7.0	+0.001534	-1.0000
15	8.0	+0.000201	-1.0000
16	8.0	-0.000205	+1.0000
17	8.0	-0.000496	+1.0000
18	8.0	-0.000506	+1.0000
19	7.0	+0.000649	-1.0000
20	7.0	-0.001255	+1.0000
21	7.0	-0.001617	+1.0000
22	8.0	-0.000375	+1.0000
23	7.0	-0.000357	+1.0000
24	7.0	+0.001033	-1.0000
25	7.0	+0.001869	-1.0000
26	8.0	-0.000558	+1.0000
27	8.0	-0.000623	+1.0000
28	8.0	+0.000662	-1.0000
29	7.0	-0.000726	+1.0000
30	8.0	-0.000747	+1.0000
31	8.0	+0.000845	-1.0000
32	8.0	+0.001026	-1.0000
33	7.0	-0.001573	+1.0000
34	8.0	-0.000525	+1.0000
35	7.0	-0.000874	+1.0000
36	8.0	-0.000351	+1.0000
37	8.0	+0.001647	-1.0000
38	7.0	-0.000342	+1.0000
39	7.0	-0.000302	+1.0000
40	8.0	-0.000612	+1.0000
41	8.0	-0.000713	+1.0000
42	7.0	-0.000466	+1.0000
43	7.0	-0.000478	+1.0000
46	7.0	-0.000666	+1.0000
47	8.0	-0.001084	+1.0000
48	7.0	-0.000928	+1.0000
49	7.0	+0.001014	-1.0000
50	8.0	-0.000557	+1.0000
51	8.0	-0.000699	+1.0000
52	7.0	-0.001709	+1.0000
53	7.0	+0.000372	-1.0000
54	8.0	-0.000721	+1.0000
55	7.0	-0.000524	+1.0000
56	8.0	-0.001190	+1.0000
57	8.0	-0.000726	+1.0000
58	8.0	+0.001604	-1.0000
59	7.0	-0.000332	+1.0000
60	7.0	+0.000167	-1.0000
61	7.0	+0.000414	-1.0000
62	8.0	+0.000121	-1.0000
63	7.0	-0.000434	+1.0000
64	7.0	-0.001297	+1.0000
65	7.0	+0.000638	-1.0000
66	8.0	+0.000335	-1.0000
68	7.0	-0.000740	+1.0000
69	7.0	+0.000208	-1.0000
70	8.0	-0.000461	+1.0000
71	8.0	-0.000994	+1.0000
72	7.0	-0.000432	+1.0000
74	7.0	+0.000203	-1.0000
76	8.0	-0.000407	+1.0000
77	7.0	+0.001051	-1.0000
78	8.0	-0.000406	+1.0000
79	7.0	+0.001515	-1.0000
80	8.0	+0.000757	-1.0000
81	8.0	-0.000342	+1.0000
82	8.0	-0.000412	+1.0000
83	8.0	-0.001388	+1.0000
84	8.0	-0.000292	+1.0000
85	7.0	-0.000221	+1.0000
87	8.0	+0.000669	-1.0000
88	7.0	-0.000504	+1.0000
89	8.0	+0.001082	-1.0000
90	7.0	-0.001138	+1.0000
